model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
AR6,World,C1_median,Mt BC/yr,Emissions|BC,9.0987,8.3665,6.478,4.5342,3.4105,2.9867,2.7997,2.7398,2.62688589096069,2.3718
AR6,World,C1_median,kt C2F6/yr,Emissions|C2F6,4.93681287765502,6.74992513656616,1.47350472525783,0.83132860665418,0.479898601770401,0.293415993452072,0.190966993570328,0.130346596240997,0.0790871009230613,0.0665336027741432
AR6,World,C1_median,kt C6F14/yr,Emissions|C6F14,1.3309520483017,1.3309520483017,0.49494281411171,0.35270220041275,0.286154597997665,0.238240405917168,0.198311805725098,0.158383294939995,0.118454702198505,0.0785261616110801
AR6,World,C1_median,kt CF4/yr,Emissions|CF4,16.0517692565918,19.4330501556396,6.14007902145385,3.817715883255,2.6367199420929,2.0262849330902,1.69135904312133,1.4254879951477,1.17507004737854,0.988550782203674
AR6,World,C1_median,Mt CH4/yr,Emissions|CH4,375.22259951815,362.1547,244.985775857278,206.8822,181.2334,166.677678269464,158.935,140.688201904297,134.280969128072,127.578845080596
AR6,World,C1_median,Mt CO/yr,Emissions|CO,847.8847,792.59051925,675.67685,539.70895,438.5651,437.652066435945,407.022683700789,378.467944012457,361.9433,339.296326208683
AR6,World,C1_median,Mt CO2/yr,Emissions|CO2|MAGICC AFOLU,4262.6963,4085.4883,-17.6573,-1477.19883435879,-2571.57280795687,-3375.92849895956,-3137.77658862703,-2417.4675,-2070.75,-2287.7067
AR6,World,C1_median,Mt CO2/yr,Emissions|CO2|MAGICC Fossil and Industrial,35051.2379746463,36284.0754722168,21512.7467,10208.2994,3590.844,784.297960753559,-385.596017507021,-1537.16135,-2377.09645,-3623.09032948002
AR6,World,C1_median,kt HFC125/yr,Emissions|HFC125,57.8193151172763,89.3301801145244,41.2072982788086,18.8726364630599,23.4161383066321,26.473899653772,28.6812093018961,30.1977325045795,29.7181497,26.4958464
AR6,World,C1_median,kt HFC134a/yr,Emissions|HFC134a,214.0886348,227.907018017959,106.392501831055,48.4190459215612,44.8595199584961,42.8501496682143,49.680908203125,55.4406158067246,57.572495526798,68.3730113259875
AR6,World,C1_median,kt HFC143a/yr,Emissions|HFC143a,32.0371398925781,55.9417880338807,33.460395294495,14.1759395599365,15.1517334046606,16.5166753498779,17.2082425938866,17.3696422405987,16.9029640191818,16.0221827536301
AR6,World,C1_median,kt HFC227ea/yr,Emissions|HFC227ea,3.69184178,4.2285486200402,0.419840693473816,0.264317214488983,0.324713200330734,0.359659999608993,0.364103585481644,0.358551204204559,0.34628438949585,0.330887198448181
AR6,World,C1_median,kt HFC23/yr,Emissions|HFC23,9.08023426776,2.5982,0.3061931321618,0.105049999999999,0.0674499999999994,0.0414649999999992,0.0252349999999994,0.0140826858551619,0,0
AR6,World,C1_median,kt HFC245fa/yr,Emissions|HFC245fa,10.4451589008709,19.6460520279341,2.62182402610778,2.2262,2.707675,3.14065,3.597225,3.98795,4.35345,4.78635
AR6,World,C1_median,kt HFC32/yr,Emissions|HFC32,34.3823,76.9695780285146,6.9647269,6.46290501,7.75202798843383,9.10118675231933,10.5370798110962,11.76,12.93,13.3285398483276
AR6,World,C1_median,kt N2O/yr,Emissions|N2O,10950.1247877502,11068.7860600393,9379.69065810355,8429.97921087056,7827.5663386397,7485.42,7449.83,7002.24836043746,6981.37495038177,6990.84818544229
AR6,World,C1_median,Mt NH3/yr,Emissions|NH3,46.6305,49.5573077783489,32.3923529168831,29.9137691284016,27.9714553785822,27.2324052198717,27.2630493438905,27.1882219068537,26.543506804842,25.4145397843349
AR6,World,C1_median,Mt NOx/yr,Emissions|NOx,121.7867,116.1336,89.265,65.2348,50.1345492349939,49.4455823943304,49.6274,47.9106085682705,45.1288,42.5909
AR6,World,C1_median,Mt OC/yr,Emissions|OC,31.0092,28.5809,25.7344,21.653,19.7448,19.2702102661132,17.825,16.7365,16.2768,15.4374
AR6,World,C1_median,kt SF6/yr,Emissions|SF6,6.0472,5.5083,2.2104,1.9973,1.6919,1.5802,1.51221005491632,1.37976503372192,1.2579,0.9932
AR6,World,C1_median,Mt SO2/yr,Emissions|Sulfur,88.0872,81.1449,43.3986,27.0453305374158,18.41213292,16.9133,15.7715,14.8431,13.9078,12.9971
AR6,World,C1_median,Mt VOC/yr,Emissions|VOC,137.5867,168.987,125.647047382832,109.604681352394,92.6918873580238,83.0973562624492,80.4643419462204,78.4017854572658,74.91575,73.11005
